采光充足，交通便利，天鸿苑不临高速，有钥匙随时看房,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 132.2平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,73,"5,522元/平"
楼层好，视野开阔，景观房  ，满2年 ，随时看房,爱涛天岳城 -溧水城南,3室2厅 | 88.58平米 | 南 | 其他 | 中楼层(共25层)  | 塔楼,110,"12,419元/平"
电梯品牌装修，无遮挡，精装修3房2卫，业主诚心出售,一品骊城 -溧水城北,3室1厅 | 120.29平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,125,"10,392元/平"
创维佳园，三房一楼带院子，户型方正,创维佳园 -溧水城北,3室2厅 | 99.02平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,83,"8,383元/平"
4跃5复式，大户型，精装拎包入住房，家电设施齐全,琴韵华庭 -溧水城北,4室3厅 | 136.67平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,89,"6,513元/平"
南北通透，户型方正，得房率高，业主诚心出售。,宏泰雅苑 -溧水城中,3室2厅 | 129.3平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 板楼,142,"10,983元/平"
小区位置佳 楼层好 采光充足  地铁 生活交通便利,宏泰雅苑 -溧水城中,3室2厅 | 130.77平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,138,"10,553元/平"
此房满五唯一，无遮挡采光好，楼层适中,宏进锦绣家园 -溧水城北,3室2厅 | 112.1平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,102,"9,100元/平"
恒大金碧天下  天鸿苑 精装三房,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 124.49平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,76,"6,105元/平"
视野开阔 交通便利 小区主入口菜场齐全,塞纳名邸 -溧水城北,3室2厅 | 93.49平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,70,"7,488元/平"
爱涛天岳城，纯毛坯，可根据自己的喜好装修,爱涛天岳城 -溧水城南,3室2厅 | 88.58平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,83,"9,371元/平"
溧水城北 卧龙湖地铁站 低总价三房,橡树城 -溧水城北,3室2厅 | 103.09平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,95,"9,216元/平"
创维佳园 好户型三房 好楼层 好位置满两年,创维佳园 -溧水城北,3室2厅 | 107.28平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,89,"8,297元/平"
叠加别墅 一楼带院子格局好 东边户 采光充足,恒大金碧天下闻涛苑 -溧水恒大,4室1厅 | 185.13平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,270,"14,585元/平"
此房是纯毛坯，满两年，可根据自己的喜好装修,卧龙湖 -溧水其它,3室3厅 | 260.54平米 | 南 | 其他 | 1层  | 板楼,400,"15,353元/平"
总价低，采光好，前后无遮挡。业主诚售精装修，配套好,一品骊城 -溧水城北,3室2厅 | 123.3平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,85,"6,894元/平"
喜之郎丽湖湾，3室1厅1厨1卫，面积适中。,喜之郎丽湖湾 -溧水城北,3室1厅 | 101.28平米 | 南 | 其他 | 高楼层(共25层)  | 板楼,95,"9,380元/平"
全小区单价很低 户型好 阳光好 满两年 诚心卖,中山首府 -溧水城南,4室2厅 | 322.3平米 | 南 | 其他 | 地下室(共11层)  | 板楼,245,"7,602元/平"
城北创维佳园  精装满五年  看房方便,创维佳园 -溧水城北,3室2厅 | 101.79平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,106.5,"10,463元/平"
多层，三开间朝南，户型方正明厨明卫,颐园世家 -溧水其它,3室2厅 | 118.14平米 | 南 | 毛坯 | 高楼层(共5层)  | 板塔结合,45,"3,810元/平"
城中好房出售，实用面积大，有储藏室，,徐园东村小区 -溧水城中,3室2厅 | 138.97平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,128,"9,211元/平"
游小金中旁 诚心出售 户型方正楼层好 价格看中可刀,塞纳名邸 -溧水城北,3室2厅 | 150.69平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,99,"6,570元/平"
恒大天鸿苑好房推荐 户型方正 好楼层 采光充足,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 134.87平米 | 南 北 | 其他 | 高楼层(共33层)  | 塔楼,121.5,"9,009元/平"
近地铁高铁 恒大精装大四房 新空房未入住 坐观卧龙湖,恒大金碧天下天鸿苑 -溧水恒大,4室2厅 | 162.97平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,100,"6,137元/平"
电梯房好楼层，前后无遮挡，含储藏室10平方，纯毛坯,珍珠佳苑 -溧水城北,3室2厅 | 110.79平米 | 南 | 其他 | 高楼层(共15层)  | 板楼,99,"8,936元/平"
此房满二，万科物业精装，交通便利，小区新，环境好,万科城梧桐苑 -溧水城南,3室1厅 | 91.63平米 | 南 | 其他 | 高楼层(共27层)  | 塔楼,106,"11,569元/平"
开发商精装未入住，满二税少 视野开阔,万科城梧桐苑 -溧水城南,3室2厅 | 91.63平米 | 南 | 其他 | 高楼层(共27层)  | 塔楼,145,"15,825元/平"
小区前排 满两年 二次精装修 视野好 业主诚心出售,万科城棕榈苑 -溧水城南,3室1厅 | 89.67平米 | 南 | 其他 | 低楼层(共28层)  | 塔楼,106,"11,822元/平"
万科品质物业 满两年 视野开阔 三开间朝南 配套齐全,万科城梧桐苑 -溧水城南,3室1厅 | 91.75平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,93,"10,137元/平"
纯毛坯 空置 出行方便 闹中取静,中南锦城 -溧水城南,4室2厅 | 124平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,178,"14,355元/平"
物业好 好楼层 交通方便 开发商精装修 业主诚心出售,碧桂园翡翠台 -溧水城南,3室2厅 | 118.29平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,168,"14,203元/平"
满两年  楼层好  采光充足 生活交通便利,中山首府 -溧水城南,3室2厅 | 125平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,128,"10,240元/平"
此房满两年，距离校区近，自住舒适，出租有优势,辛庄北苑 -溧水城南,3室2厅 | 121.28平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,117,"9,648元/平"
万科城棕榈苑  二次品质精装自住   满两年楼层好,万科城棕榈苑 -溧水城南,3室2厅 | 110平米 | 南 | 其他 | 中楼层(共28层)  | 塔楼,145,"13,182元/平"
精装修未住，中高楼层，采光好，视野开阔,万科城棕榈苑 -溧水城南,3室1厅 | 89.97平米 | 南 | 其他 | 高楼层(共23层)  | 塔楼,112,"12,449元/平"
朝南叠墅  满两年 采光充足  生活便利,蓝湖西岸 -溧水城南,4室2厅 | 180.92平米 | 南 | 毛坯 | 中楼层(共5层)  | 塔楼,291,"16,085元/平"
精装修，拎包入住，中山湖地铁口，秦淮源公园里,万科城梧桐苑 -溧水城南,3室2厅 | 117.56平米 | 南 | 其他 | 低楼层(共27层)  | 塔楼,140,"11,909元/平"
开发商精装未入住，满二税少 视野开阔,万科城梧桐苑 -溧水城南,3室2厅 | 91.63平米 | 南 | 其他 | 高楼层(共27层)  | 塔楼,145,"15,825元/平"
此房满两年，距离校区近，自住舒适，出租有优势,辛庄北苑 -溧水城南,3室2厅 | 121.28平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,117,"9,648元/平"
电梯房好楼层，前后无遮挡，含储藏室10平方，纯毛坯,珍珠佳苑 -溧水城北,3室2厅 | 110.79平米 | 南 | 其他 | 高楼层(共15层)  | 板楼,99,"8,936元/平"
纯心房 开发商 精装未入住 三房 南北通风,万科城梧桐苑 -溧水城南,3室2厅 | 109平米 | 南 | 其他 | 低楼层(共11层)  | 塔楼,170,"15,597元/平"
物业好 好楼层 交通方便 开发商精装修 业主诚心出售,碧桂园翡翠台 -溧水城南,3室2厅 | 118.29平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,168,"14,203元/平"
景观房 阳光好 满两年 诚心卖,碧桂园翡翠台 -溧水城南,3室2厅 | 118.9平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,135,"11,355元/平"
此房满二，万科物业精装，交通便利，小区新，环境好,万科城梧桐苑 -溧水城南,3室1厅 | 91.63平米 | 南 | 其他 | 高楼层(共27层)  | 塔楼,106,"11,569元/平"
溧水区城南  房型方正  简单装修  满二,康利华府 -溧水城南,3室1厅 | 120.55平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,130,"10,784元/平"
近地铁高铁 恒大精装大四房 新空房未入住 坐观卧龙湖,恒大金碧天下天鸿苑 -溧水恒大,4室2厅 | 162.97平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,100,"6,137元/平"
小区前排 满两年 二次精装修 视野好 业主诚心出售,万科城棕榈苑 -溧水城南,3室1厅 | 89.67平米 | 南 | 其他 | 低楼层(共28层)  | 塔楼,106,"11,822元/平"
万科城棕榈苑  二次品质精装自住   满两年楼层好,万科城棕榈苑 -溧水城南,3室2厅 | 110平米 | 南 | 其他 | 中楼层(共28层)  | 塔楼,145,"13,182元/平"
楼层好，采光好，环境优美，花园式小区，恒大品牌物业,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 106.02平米 | 东 | 其他 | 高楼层(共33层)  | 板楼,76,"7,169元/平"
房产证满2年，采光好，双湖景房，视野开阔无遮挡,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 135.36平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,98,"7,240元/平"
卧龙湖 精装修三房 推门即可观湖、满2年,卧龙湖 -溧水其它,3室2厅 | 123.73平米 | 南 北 | 其他 | 中楼层(共12层)  | 暂无数据,99,"8,002元/平"
碧桂园    城南新实小旁   无遮挡，采光好,碧桂园翡翠台 -溧水城南,2室2厅 | 100.72平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,113,"11,220元/平"
中高楼层  边户  采光充足 交通便利  诚心出售,中南锦城 -溧水城南,4室2厅 | 124.18平米 | 南 | 毛坯 | 高楼层(共25层)  | 塔楼,144,"11,597元/平"
此房满两年 毛坯大三房 业主在本地 签约随时,爱涛天岳城 -溧水城南,3室2厅 | 115.14平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 塔楼,133,"11,552元/平"
万科城梧桐苑3室2厅2卫117.18平182万。,万科城梧桐苑 -溧水城南,3室2厅 | 117.38平米 | 南 | 其他 | 高楼层(共27层)  | 塔楼,130,"11,076元/平"
万科城梧桐苑，91平精准３房满２年有钥匙，１１０万,万科城梧桐苑 -溧水城南,3室1厅 | 91.63平米 | 南 | 其他 | 高楼层(共27层)  | 塔楼,93,"10,150元/平"
此房源户型方正，已满二年，旁边是幼儿园，苏果，公园,创维乐活城 -溧水城北,3室1厅 | 91.78平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,70,"7,627元/平"
国企品质，万科开发商精装修，好楼层,万科城梧桐苑 -溧水城南,3室2厅 | 117.56平米 | 南 北 | 其他 | 中楼层(共27层)  | 塔楼,130,"11,059元/平"
万科品质物业 满两年 视野开阔 三开间朝南 配套齐全,万科城梧桐苑 -溧水城南,3室1厅 | 91.75平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,93,"10,137元/平"
纯毛坯 空置 出行方便 闹中取静,中南锦城 -溧水城南,4室2厅 | 124平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,178,"14,355元/平"
时代景园优质房源诚售.....,时代景园 -溧水城南,3室2厅 | 106.6平米 | 南 | 其他 | 中楼层(共5层)  | 塔楼,112,"10,507元/平"
好房出售，好房出售，好房出售，好房出售，,和园 -溧水城南,3室2厅 | 114.99平米 | 南 | 毛坯 | 高楼层(共5层)  | 板楼,106,"9,219元/平"
满两年 采光好 视野开阔 户型优越 高档开发商叠加别墅,恒大金碧天下闻涛苑 -溧水恒大,4室2厅 | 155.39平米 | 南 北 | 其他 | 高楼层(共4层)  | 板楼,230,"14,802元/平"
创维乐活城 好户型三房 好楼层 好位置满两年,创维乐活城 -溧水城北,3室1厅 | 96.37平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,71,"7,368元/平"
楼层好，采光好，环境优美，，，,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 135.62平米 | 南 | 其他 | 中楼层(共23层)  | 板楼,86,"6,342元/平"
毛坯房，满两年，物业好，环境好,橡树城 -溧水城北,3室2厅 | 101平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,107,"10,595元/平"
创维乐活城 好户型三房 好楼层 好位置满两年,创维乐活城 -溧水城北,3室1厅 | 96.37平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,71,"7,368元/平"
满两年 采光好 视野开阔 户型优越 高档开发商叠加别墅,恒大金碧天下闻涛苑 -溧水恒大,4室2厅 | 155.39平米 | 南 北 | 其他 | 高楼层(共4层)  | 板楼,230,"14,802元/平"
创维佳园 好户型三房 好楼层有钥匙 满两年,创维佳园 -溧水城北,3室2厅 | 99平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,68,"6,869元/平"
三居室 楼层高 采光好 房屋无抵押,石虎名苑 -溧水城南,3室2厅 | 125.47平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,96,"7,652元/平"
海伦国际，3室2厅1厨2卫，面积偏大。,海伦国际 -溧水城中,3室2厅 | 105.22平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,129,"12,261元/平"
万科城棕榈苑好楼层，好位置，前排无遮挡,万科城棕榈苑 -溧水城南,3室1厅 | 98.49平米 | 南 | 其他 | 中楼层(共28层)  | 塔楼,125,"12,692元/平"
溧水城北 地铁口  三房户型 顶带阁,金东城世家一期 -溧水城北,3室2厅 | 98.85平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,93,"9,409元/平"
秦淮东郡小三房，满两年，户型方正，采光充足无遮挡,秦淮东郡 -溧水城中,3室2厅 | 95.32平米 | 南 | 简装 | 中楼层(共24层)  | 板塔结合,75,"7,869元/平"
碧桂园翡翠台，双阳台，南北通风，诚心出售,碧桂园翡翠台 -溧水城南,3室2厅 | 118.68平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,145,"12,218元/平"
天生福邸 顶楼有阁楼 精装 满五，实用,天生福邸 -溧水城南,3室2厅 | 123.01平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,90,"7,317元/平"
创维乐活城 一楼带院子 好户型 满两年,创维乐活城 -溧水城北,3室1厅 | 127平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,100,"7,875元/平"
此房户型方正，满二税费少，南北通风，采光好。,创维乐活城 -溧水城北,3室2厅 | 102.41平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,70,"6,836元/平"
恒大精装三房两卫，户型方正，视野好，看房随时,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 124.8平米 | 南 北 | 其他 | 高楼层(共33层)  | 塔楼,75,"6,010元/平"
此房满两年，楼层好，房屋格局好，视野开阔，采光充足,金庭国际花园 -溧水城中,3室2厅 | 129.84平米 | 南 | 其他 | 低楼层(共10层)  | 平房,110,"8,472元/平"
纯毛坯房，装修自由 满两年 税少,颐园世家 -溧水其它,3室2厅 | 115.59平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,40,"3,461元/平"
橡树城 好户型三房 好楼层有钥匙 满两年,橡树城 -溧水城北,3室2厅 | 104.82平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,90,"8,587元/平"
万达精装房  位置佳 采光好  生活购物出行便利,溧水万达御景仕家一期 -溧水城南,4室2厅 | 131.26平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,160,"12,190元/平"
城中位置，多层户型方正，明厨明卫,宏泰雅苑 -溧水城中,3室2厅 | 116.3平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,93,"7,997元/平"
宏泰花苑户型好 多层得房率高 居住舒适 采光充足,宏泰花苑东区 -溧水城中,3室2厅 | 132.66平米 | 东 | 其他 | 低楼层(共11层)  | 板楼,112,"8,443元/平"
此房满两年，楼层好，采光好，通透户型，简装修。,金湖家园 -溧水其它,3室1厅 | 116.12平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,52,"4,479元/平"
此房满两年，中间位置 ，楼栋前后无遮挡，采光好，,亚东同城逸境 -溧水城北,3室2厅 | 140平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,168,"12,000元/平"
满两年税少 西边套全明户型 毛坯 有钥匙 随时看房,秦淮花苑福园 -溧水城北,2室2厅 | 91.39平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,80,"8,754元/平"
"房型*正,正规板式房,双阳台,采光通风好",金东城世家西园二期 -溧水城北,2室2厅 | 98.87平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,90,"9,103元/平"
此房满二 两房两厅一卫一厨，采光好，户型通透 无遮挡,金东城世家一期 -溧水城北,2室2厅 | 83.76平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,70,"8,358元/平"
创维乐活城  大两房 户型方正 采光好,创维乐活城 -溧水城北,2室2厅 | 83.18平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,73,"8,777元/平"
满两年税少 大两房 好楼层 有钥匙随时看,金东城世家西园二期 -溧水城北,2室2厅 | 98.62平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,99.5,"10,090元/平"
"二开间朝南,采光好 还有一个储藏室。刚需客户的必选房",一品骊城 -溧水城北,2室1厅 | 67.69平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,51.5,"7,609元/平"
万科城 好楼层 公园旁 采光视野好 生活交通便利,万科城月桂苑 -溧水城南,3室2厅 | 94.4平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,145,"15,361元/平"
好楼层 生活方便交通便利，配套齐全,创维佳园 -溧水城北,4室2厅 | 124.56平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,106,"8,510元/平"
楼层好，生活方便交通便利，配套齐全,创维佳园 -溧水城北,2室1厅 | 84.83平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,70,"8,252元/平"
卧龙湖地die旁 简装小三房  满二  随时看房,亚东同城逸境 -溧水城北,3室2厅 | 93.34平米 | 南 | 简装 | 高楼层(共27层)  | 塔楼,80,"8,571元/平"
总价低，采光好，前后无遮挡。业主诚售。,一品骊城 -溧水城北,3室2厅 | 125.93平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,91,"7,227元/平"
房东诚心出售此房 满2年 好楼层 简单装修 两房朝南,金东城世家一期 -溧水城北,2室1厅 | 87.73平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,75,"8,549元/平"
